,201601월,,,,201602월,,,,201603월,,,,201604월,,,,201701월,,,,201702월,,,,201703월,,,,201704월,,,,201801월,,,,201802월,,,,201803월,,,,201804월,,,,201901월,,,,신규구인_201902,,,,201903월,,,,201904월,,,,202001월,,,,202002월,,,,202003월,,,,202004월,,,
직업분류,신규구인_201601,신규구직건수,취업건수,취업률_201601,신규구인_201602,신규구직건수,취업건수,취업률_201602,신규구인_201603,신규구직건수_201603,취업건수,취업률_201603,신규구인_201604,신규구직건수_201604,취업건수,취업률_201604,신규구인_201701,신규구직건수,취업건수,취업률_201701,신규구인_201702,신규구직건수,취업건수,취업률,신규구인_201703,신규구직건수_201703,취업건수,취업률_201703,신규구인_201704,신규구직건수_201704,취업건수,취업률_201704,신규구인_201801,신규구직건수,취업건수,취업률_201801,신규구인_201802,신규구직건수,취업건수,취업률,신규구인2018_03,신규구직건수_201803,취업건수,취업률_201803,신규구인_201804,신규구직건수_201804,취업건수,취업률_201804,신규구인_201901,신규구직건수,취업건수,취업률_201901,신규구인인원,신규구직건수,취업건수,취업률,신규구인_201903,신규구직건수_201903,취업건수,취업률_201903,신규구인_201904,신규구직건수_201904,취업건수,취업률_201904,신규구인_202001,신규구직건수_202001,취업건수,취업률_202001,신규구인_202002,신규구직건수_202002,취업건수,취업률_202002,신규구인_202003,신규구직건수_202003,취업건수,취업률_202003,신규구인_202004,신규구직건수_202004,취업건수,취업률_202004
계,131893,309475,68507,22.1,127317,225314,64521,28.6,180460,292730,95636,32.7,134727,233340,78295,33.6,135596,254381,58156,22.9,154097,209136,64563,30.9,190803,251660,85585,34,143058,220370,68357,31,152123,280686,60377,21.5,111514,201970,51090,25.3,161055,268960,75124,27.9,132298,228857,67013,29.3,117502,305090,61668,20.2,103058,208145,48615,23.4,126983,262698,76831,29.2,120337,240592,67359,28,109209,302518,55405,18.3,112935,244566,60175,24.6,97697,292051,64645,22.1,78549,266717,56940,21.3
관리직,1286,18473,3852,20.9,1375,13533,3703,27.4,1830,16373,5021,30.7,1760,13201,4291,32.5,2361,15690,2950,18.8,3209,12957,3415,26.4,3228,14251,4390,30.8,2925,14429,3848,26.7,1239,15330,3242,21.1,649,8241,2590,31.4,796,9607,3111,32.4,717,9512,2502,26.3,607,9655,1848,19.1,578,6721,1417,21.1,664,7498,2099,28,685,7552,1841,24.4,607,8927,1383,15.5,680,7090,1686,23.8,537,7848,1621,20.7,571,7948,1596,20.1
경영회계사무,19607,71057,17109,24.1,19576,55231,15550,28.2,24487,72062,20895,29,21004,60642,18635,30.7,18709,61757,14570,23.6,22495,54389,16126,29.6,22945,65505,19272,29.4,19641,59178,16386,27.7,19703,68057,14675,21.6,16106,54633,12784,23.4,21600,71821,16723,23.3,20603,63810,16591,26,15630,78076,15645,20,15153,57751,12305,21.3,17022,70707,18134,25.6,17736,67834,16804,24.8,15383,73894,13167,17.8,15327,63954,15054,23.5,13660,70670,14906,21.1,11795,67891,14080,20.7
금융보험,343,2784,466,16.7,356,1922,473,24.6,435,2469,597,24.2,393,2013,505,25.1,312,2423,417,17.2,517,2359,490,20.8,433,2033,514,25.3,255,2014,467,23.2,576,2580,465,18,274,1854,328,17.7,366,2136,428,20,290,1998,435,21.8,237,2442,457,18.7,268,1817,331,18.2,354,1962,448,22.8,264,1954,445,22.8,228,2401,354,14.7,275,2032,372,18.3,286,1894,399,21.1,278,1997,378,18.9
교육과학연구,1591,9466,1058,11.2,1970,5801,1361,23.5,1272,16019,5401,33.7,980,6237,1874,30,1482,8398,836,10,1390,5416,1168,21.6,1279,13777,4917,35.7,888,6191,1604,25.9,1661,8528,804,9.4,1245,5161,906,17.6,967,11858,4398,37.1,1143,5222,1368,26.2,1436,8189,724,8.8,1178,4745,667,14.1,1037,11379,3679,32.3,1117,5349,1356,25.4,1647,7997,658,8.2,1173,6057,795,13.1,676,12903,3043,23.6,629,6838,1296,19
법률소방교도,199,1175,276,23.5,160,950,244,25.7,210,1165,338,29,198,994,270,27.2,151,993,203,20.4,174,864,239,27.7,187,1039,290,27.9,164,1015,266,26.2,164,1085,207,19.1,200,924,222,24,162,1204,256,21.3,170,1132,261,23.1,148,1309,247,18.9,142,897,214,23.9,193,1125,271,24.1,159,1143,257,22.5,135,1278,196,15.3,145,1077,258,24,115,1175,261,22.2,106,1164,231,19.8
보건의료,4948,18283,4016,22,5516,15270,3882,25.4,6313,17965,5531,30.8,5436,13947,4894,35.1,5536,16494,3637,22.1,6342,15099,3965,26.3,6196,17307,5519,31.9,5982,14493,4631,32,7210,19824,4262,21.5,5734,16320,3411,20.9,7052,20259,5248,25.9,6348,16385,5147,31.4,7513,22599,4820,21.3,6570,16789,4048,24.1,6969,20233,6251,30.9,7846,18049,6009,33.3,8303,25203,5307,21.1,7915,21597,5005,23.2,5973,22554,4519,20,5492,21270,4054,19.1
사회복지및종교,3801,10557,2216,21,2988,7077,2044,28.9,2388,16298,4161,25.5,1997,7918,2676,33.8,4086,10112,2142,21.2,3427,7512,2332,31,2522,15755,4211,26.7,2076,8513,2524,29.6,4382,11958,2298,19.2,3445,8817,2005,22.7,3069,21394,4271,20,2518,10441,2990,28.6,4789,15216,2642,17.4,3266,10191,1957,19.2,2737,23681,5273,22.3,2921,12384,3398,27.4,5792,16366,3097,18.9,4956,12352,2662,21.6,2821,27287,4649,17,2339,13889,2865,20.6
문화방송예술,4066,14621,3132,21.4,3798,11959,2923,24.4,4514,14785,3932,26.6,4088,11739,3622,30.9,3448,12041,2480,20.6,4558,10598,2734,25.8,4497,12430,3284,26.4,4025,11275,3045,27,3981,14100,2437,17.3,2833,10769,2261,21,3673,13485,2765,20.5,3252,11666,2762,23.7,3047,14960,2292,15.3,2871,10061,1888,18.8,3041,11942,2989,25,3017,11310,2668,23.6,2626,13686,1842,13.5,2662,12283,2228,18.1,2332,13078,2483,19,1928,12972,2395,18.5
