직업,2009_04신규구인인원,2009_04신규구직건수,취업건수,2009_04취업률,2009_05신규구인인원,2009_05신규구직건수,취업건수,2009_05취업률,2009_06신규구인인원,2009_06신규구직건수,취업건수,2009_06취업률,2009_07신규구인인원,2009_07신규구직건수,취업건수,2009_07취업률,2009_08신규구인인원,2009_08신규구직건수,취업건수,2009_08취업률,2009_09신규구인인원,2009_09신규구직건수,취업건수,2009_09취업률,2009_10신규구인인원,2009_10신규구직건수,취업건수,2009_10취업률,2009_11신규구인인원,2009_11신규구직건수,취업건수,2009_11취업률,2009_12신규구인인원,2009_12신규구직건수,취업건수,2009_12취업률,2010_01신규구인인원,2010_01신규구직건수,취업건수,2010_01취업률,2010_02신규구인인원,2010_02신규구직건수,취업건수,2010_02취업률,2010_03신규구인인원,2010_03신규구직건수,취업건수,2010_03취업률,2015_05신규구인인원,2015_05신규구직건수,취업건수,2015_05취업률,2015_06신규구인인원,2015_06신규구직건수,취업건수,2015_06취업률,2015_07신규구인인원,2015_07신규구직건수,취업건수,2015_07취업률,2015_08신규구인인원,2015_08신규구직건수,취업건수,2015_08취업률,2015_09신규구인인원,2015_09신규구직건수,취업건수,2015_09취업률,2015_10신규구인인원,2015_10신규구직건수,취업건수,2015_10취업률,2015_11신규구인인원,2015_11신규구직건수,취업건수,2015_11취업률,2015_12신규구인인원,2015_12신규구직건수,취업건수,2015_12취업률,2020_01신규구인인원,2020_01신규구직건수,취업건수,2020_01취업률,2020_02신규구인인원,2020_02신규구직건수,취업건수,2020_02취업률,2020_03신규구인인원,2020_03신규구직건수,취업건수,2020_03취업률,2020_04신규구인인원,2020_04신규구직건수,취업건수,2020_04취업률
계,93667,230584,58628,25.4,90168,202097,50878,25.2,104817,256611,64872,25.3,105117,236427,59245,25.1,119408,215866,54180,25.1,120225,228405,70445,30.8,122612,203845,56862,27.9,118487,190937,55773,29.2,107166,232140,46513,20,114215,255456,41733,16.3,130223,200137,50238,25.1,184358,266910,73973,27.7,122386,219804,70033,31.9,150426,245213,77943,31.8,127293,283965,76997,27.1,134096,217781,66270,30.4,135974,227142,71466,31.5,147264,250155,71964,28.8,132268,218446,71039,32.5,152070,246086,63112,25.6,109209,302518,55405,18.3,112935,244566,60175,24.6,97697,292051,64645,22.1,78549,266717,56940,21.3
관리직,456,5088,1141,22.4,530,4986,960,19.3,3210,9611,1517,15.8,3348,9177,1873,20.4,3499,8758,1946,22.2,3761,10221,2681,26.2,3616,9466,2419,25.6,3244,9001,2432,27,3431,9529,2181,22.9,3929,10296,1889,18.3,4305,9723,2319,23.9,6152,12223,2977,24.4,1435,14526,4935,34,824,13753,5299,38.5,720,16455,4666,28.4,948,12403,4031,32.5,930,12993,4081,31.4,1249,14993,4045,27,1162,11818,3759,31.8,1294,13861,3583,25.8,607,8927,1383,15.5,680,7090,1686,23.8,537,7848,1621,20.7,571,7948,1596,20.1
경영회계사무,15472,60752,14885,24.5,14777,56042,13619,24.3,18508,71479,17082,23.9,16975,64578,15973,24.7,18195,60412,14351,23.8,18892,63626,18710,29.4,18918,57941,15147,26.1,18695,53275,14788,27.8,17002,59280,12755,21.5,18332,64315,11216,17.4,19880,52958,13587,25.7,27841,69984,17856,25.5,19044,55080,16807,30.5,24261,61693,19342,31.4,21127,69878,18737,26.8,20861,54138,16018,29.6,19759,57544,17113,29.7,23822,64148,17640,27.5,20922,55773,17327,31.1,19709,61074,16135,26.4,15383,73894,13167,17.8,15327,63954,15054,23.5,13660,70670,14906,21.1,11795,67891,14080,20.7
금융보험,380,2481,450,18.1,188,2052,486,23.7,443,2333,463,19.8,525,2618,602,23,412,2112,511,24.2,315,2175,596,27.4,465,2236,436,19.5,357,1825,428,23.5,448,1819,377,20.7,364,2146,353,16.4,651,1693,418,24.7,924,2152,537,25,358,1959,493,25.2,356,2047,624,30.5,420,2622,585,22.3,280,1959,457,23.3,374,1850,479,25.9,345,2211,491,22.2,426,1787,415,23.2,228,1923,460,23.9,228,2401,354,14.7,275,2032,372,18.3,286,1894,399,21.1,278,1997,378,18.9
교육과학연구,1128,4185,1203,28.7,1019,3341,917,27.4,1522,5777,950,16.4,2771,4583,732,16,1622,4139,937,22.6,1572,5197,1742,33.5,1398,3508,826,23.5,1369,3637,895,24.6,1457,5038,572,11.4,1778,6055,608,10,1878,3982,1054,26.5,2688,9117,3257,35.7,881,4866,1582,32.5,1013,6944,1616,23.3,1042,6983,1457,20.9,1068,5074,1785,35.2,970,8620,2303,26.7,1215,5971,1524,25.5,1228,4630,1037,22.4,1452,7329,876,12,1647,7997,658,8.2,1173,6057,795,13.1,676,12903,3043,23.6,629,6838,1296,19.0
법률소방교도,111,806,224,27.8,90,742,173,23.3,130,902,242,26.8,137,849,188,22.1,124,772,198,25.6,146,787,202,25.7,120,718,193,26.9,133,668,166,24.9,102,700,147,21,122,691,135,19.5,150,569,150,26.4,168,722,190,26.3,220,919,264,28.7,217,939,331,35.3,228,1102,292,26.5,177,840,283,33.7,163,922,244,26.5,181,994,267,26.9,163,951,242,25.4,174,962,234,24.3,135,1278,196,15.3,145,1077,258,24.0,115,1175,261,22.2,106,1164,231,19.8
보건의료,1461,8049,2028,25.2,1250,6787,1752,25.8,1640,8611,2184,25.4,2156,8393,1963,23.4,1929,8137,1935,23.8,2138,8650,2419,28,2617,6898,2029,29.4,2454,6614,2004,30.3,2278,8013,1738,21.7,2188,10788,1639,15.2,2275,10499,2031,19.3,3118,11844,2746,23.2,4391,11630,4249,36.5,4870,12727,4469,35.1,5268,16041,3969,24.7,5416,14741,3609,24.5,5306,13785,3965,28.8,6766,14065,4113,29.2,5811,12751,4341,34,5758,13790,3791,27.5,8303,25203,5307,21.1,7915,21597,5005,23.2,5973,22554,4519,20.0,5492,21270,4054,19.1
사회복지및종교,1480,5967,1741,29.2,1645,4930,1509,30.6,2030,6886,1645,23.9,1696,5533,1624,29.4,1880,5346,1438,26.9,1743,5951,1884,31.7,1503,4837,1230,25.4,2158,4540,1372,30.2,2373,6120,1005,16.4,2692,6994,1206,17.2,2684,5495,1821,33.1,3502,11370,3299,29,1511,6281,2306,36.7,2077,8259,2520,30.5,2050,8452,2608,30.9,2401,6573,2629,40,2258,8434,3177,37.7,2370,7452,2518,33.8,2267,6226,2011,32.3,3377,7850,1623,20.7,5792,16366,3097,18.9,4956,12352,2662,21.6,2821,27287,4649,17.0,2339,13889,2865,20.6
문화방송예술,3462,11938,2905,24.3,2599,9345,1973,21.1,3655,12305,2434,19.8,3370,11565,2532,21.9,3473,11065,2370,21.4,3486,11369,3032,26.7,3568,9272,2398,25.9,3317,8933,2397,26.8,3475,10157,2070,20.4,3482,10216,1646,16.1,3589,10755,1983,18.4,5391,13604,2960,21.8,3853,11270,3073,27.3,4301,12645,3658,28.9,4029,14352,3347,23.3,4006,11414,3021,26.5,3785,11758,3275,27.9,4481,12362,3193,25.8,4087,10888,3208,29.5,3937,12092,2985,24.7,2626,13686,1842,13.5,2662,12283,2228,18.1,2332,13078,2483,19.0,1928,12972,2395,18.5
운전및운송,2566,11782,3202,27.2,2835,10741,2918,27.2,2960,12786,3881,30.4,3150,11828,3777,31.9,3740,10825,3367,31.1,3734,11199,4187,37.4,3852,10573,3489,33,3487,9710,3459,35.6,3200,10799,2853,26.4,3630,11018,2359,21.4,4074,8488,2680,31.6,5608,11468,3646,31.8,6611,9143,3657,40,6508,10616,4109,38.7,5618,11686,4637,39.7,6436,8986,3595,40,5676,8394,3714,44.2,7620,10157,3813,37.5,6483,9277,3961,42.7,6899,10230,3391,33.1,5780,12445,2821,22.7,5563,10277,3292,32.0,4543,12476,3256,26.1,3993,11997,2982,24.9
