,구인,구직,구인배수,취업자수,취업률
200201월,"57,616","92,397",0.62,"11,845",12.8
200202월,"53,675","72,701",0.74,"12,559",17.3
200203월,"69,419","87,694",0.79,"18,686",21.3
200204월,"62,963","65,362",0.96,"18,019",27.6
200205월,"63,476","65,938",0.96,"18,067",27.4
200206월,"44,865","61,891",0.72,"14,370",23.2
200207월,"46,734","73,195",0.64,"16,133",22
200208월,"54,038","72,274",0.75,"15,524",21.5
200209월,"49,025","68,214",0.72,"16,194",23.7
200210월,"59,333","74,496",0.8,"16,223",21.8
200211월,"47,459","70,808",0.67,"22,321",31.5
200212월,"33,429","68,326",0.49,"12,038",17.6
200301월,"37,781","76,072",0.51,"12,994",17.1
200302월,"50,099","80,276",0.62,"15,740",19.6
200303월,"47,431","86,629",0.55,"19,541",22.6
200304월,"43,112","73,132",0.59,"18,257",25
200305월,"39,132","68,394",0.57,"16,707",24.4
200306월,"36,921","73,887",0.5,"13,946",18.9
200307월,"37,874","83,317",0.45,"16,360",19.6
200308월,"37,341","80,454",0.46,"14,258",17.7
200309월,"38,054","81,176",0.47,"15,186",18.7
200310월,"46,918","79,823",0.59,"11,009",13.8
200311월,"38,417","73,036",0.53,"13,258",18.2
200312월,"35,088","76,630",0.46,"13,194",17.2
200401월,"36,630","100,296",0.37,"10,639",10.6
200402월,"58,392","108,881",0.54,"17,083",15.7
200403월,"57,576","112,870",0.51,"21,315",18.9
200404월,"50,101","86,450",0.58,"23,094",26.7
200405월,"51,886","80,746",0.64,"21,214",26.3
200406월,"48,003","88,270",0.54,"21,634",24.5
200407월,"58,838","91,449",0.64,"20,098",22
200408월,"62,665","89,057",0.7,"17,925",20.1
200409월,"40,945","76,909",0.53,"15,941",20.7
200410월,"58,060","90,908",0.64,"17,730",19.5
200411월,"45,495","92,849",0.49,"19,153",20.6
200412월,"39,526","94,258",0.42,"17,931",19
200501월,"52,233","141,776",0.37,"18,338",12.9
200502월,"52,294","110,742",0.47,"17,755",16
200503월,"72,082","147,865",0.49,"28,243",19.1
200504월,"61,113","109,747",0.56,"25,377",23.1
200505월,"60,641","106,390",0.57,"29,630",27.9
200506월,"58,531","111,038",0.53,"29,958",27
200507월,"55,577","111,995",0.5,"28,556",25.5
200508월,"64,229","117,828",0.55,"28,211",23.9
200509월,"59,308","106,316",0.56,"26,751",25.2
200510월,"63,405","107,257",0.59,"29,254",27.3
200511월,"58,157","101,116",0.58,"32,949",32.6
200512월,"47,732","105,166",0.45,"22,148",21.1
200601월,"51,383","134,564",0.38,"24,084",17.9
200602월,"70,159","137,051",0.51,"29,763",21.7
200603월,"72,044","132,190",0.55,"37,775",28.6
200604월,"64,270","108,963",0.59,"34,020",31.2
200605월,"65,323","117,312",0.56,"32,535",27.7
200606월,"66,537","134,273",0.5,"32,816",24.4
200607월,"53,625","131,150",0.41,"31,881",24.3
200608월,"66,949","131,961",0.51,"32,367",24.5
200609월,"65,108","137,175",0.47,"36,168",26.4
200610월,"69,283","146,214",0.47,"33,254",22.7
200611월,"70,429","165,391",0.43,"41,906",25.3
